userId,hotelID,Hotel_Name,Average_Rating,Predicted_Rating,Hybrid_Score,Normalized_Hybrid_Score,Rank,Number_of_Reviewers
sheena,16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,10.012254,24.008335964258603,8.082782153331564,2,10
sheena,28_24,InterContinental Residences Nha Trang,9.94,9.921377,20.63092386293944,0.6181853614530287,3,7
sheena,39_17,Gold Coast Hotel Nha Trang,9.09,9.792417,20.3627578144378,0.025497420128296734,4,7
sheena,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,10.458459,20.351221317866756,0.0,5,6
sheng,1_15,Khách Sạn Erica Nha Trang (Erica Nha Trang Hotel),9.2,8.323492,42.74777746206798,10.0,1,169
sheng,12_7,Gran Meliá Nha Trang,9.49,8.40484,35.82714433848486,7.218061550816688,2,70
sheng,13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,8.448035,20.257503766845698,0.9594171504064082,3,10
sheng,18_13,The Arena Cam Ranh Beach seaside,8.65,8.58019,18.852603697802543,0.3946790044103212,4,8
sheng,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,9.183754,17.87076005136718,0.0,5,6
shermin,21_8,Khách sạn Alana Nha Trang (Alana Nha Trang Beach Hotel),9.02,9.905404,50.57645318499191,10.0,1,164
shermin,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.768637,36.03532323021202,5.200005735395875,2,39
shermin,5_1,Nomad Apartment,9.43,9.739378,26.37472448506536,2.011063836551006,3,14
shermin,39_17,Gold Coast Hotel Nha Trang,9.09,10.053989,20.906683239595733,0.20607573050321082,4,7
shermin,28_24,InterContinental Residences Nha Trang,9.94,9.753771,20.282396248281895,0.0,5,7
shi,39_7,Khách sạn & Căn hộ Moonlight Bay (Moonlight Bay hotel & apartment),9.21,9.122302,42.87920170204225,10.0,1,109
shi,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,8.873408,32.73293363063262,6.102335375654854,2,39
shi,28_24,InterContinental Residences Nha Trang,9.94,8.616626,17.91776960815965,0.41112553299579346,3,7
shi,39_17,Gold Coast Hotel Nha Trang,9.09,8.530714,17.739121144641288,0.34249815280551343,4,7
shi,33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,8.657924,16.84754159451229,0.0,5,6
shih,4_19,PANAMA Nha Trang Hotel,9.27,10.160767,41.257213729107946,10.0,1,57
shih,18_4,Rosemary Home @ Bai Dai Beach Nha Trang,9.18,10.190411,31.951973538182884,5.936034579284069,2,22
shih,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,10.330823,25.67113063292115,3.1929427454132937,3,11
shih,28_24,InterContinental Residences Nha Trang,9.94,10.877921,22.620001031669936,1.8603941019402834,4,7
shih,8_27,Vinpearl Luxury Nha Trang,10.0,10.24706,18.360266467962703,0.0,5,5
shijie,19_6,Masova Hotel,9.24,8.320779,41.52428590415409,10.0,1,146
shijie,17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,8.447202,31.160708902202774,6.042016258016138,2,39
shijie,10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,8.580697,21.322231183294278,2.2845747057433696,3,11
