Hotel ID,Hotel Name,Average Rating,Predicted Rating,Avg Normalized Hybrid Score,Number of Visitors,Times Recommended
13_17,Khu nghỉ dưỡng và Spa Cam Ranh Riviera Beach - Trọn gói (Cam Ranh Riviera Beach Resort and Spa - All Inclusive),8.92,8.95,10.0,109.0,34
6_10,Khách sạn Starlet (Starlet Hotel Nha Trang),8.27,8.27,10.0,123.0,33
16_7,Khách sạn Grand Gosia (Grand Gosia Hotel),9.34,9.25,10.0,166.0,33
18_12,Khách Sạn Vesna (Vesna Hotel),9.31,9.18,10.0,135.0,33
2_7,The Swan Hotel,9.01,8.67,10.0,87.0,33
2_5,Khách sạn Boutique Seasing (Seasing Boutique Hotel),9.13,9.12,10.0,123.0,32
3_13,Vinpearl Resort & Spa Nha Trang Bay,9.36,9.3,10.0,134.0,32
1_15,Khách Sạn Erica Nha Trang (Erica Nha Trang Hotel),9.2,8.83,10.0,169.0,31
19_6,Masova Hotel,9.24,9.06,10.0,146.0,31
23_25,Khách sạn Quinter Central Nha Trang (Quinter Central Nha Trang Hotel),9.12,9.04,10.0,114.0,31
12_9,The View Hotel,9.4,9.31,2.98,10.0,30
4_4,Seaview Cam Ranh,9.11,9.2,9.74,55.0,30
1_16,The Summer Hotel,8.87,8.65,10.0,107.0,29
5_16,Khách sạn MCR Luxury Nha Trang (The MCR Luxury Nha Trang Hotel),9.25,8.22,0.27,8.0,29
1_3,Khách sạn Aaron (Aaron Hotel),9.14,9.31,10.0,123.0,29
30_11,Wise Stay Gold Coast,9.34,9.46,9.78,78.0,29
4_1,Khu nghỉ dưỡng Khách sạn & Spa Champa Island Nha Trang (Champa Island Nha Trang - Resort Hotel & Spa),9.36,9.03,10.0,173.0,29
14_16,"Nha Trang Marriott Resort & Spa, Hon Tre Island",9.21,9.34,10.0,62.0,27
38_25,Khu nghỉ dưỡng Paradise Dốc Lết - Trọn gói (Paradise Resort Doc Let - All Inclusive),9.18,8.04,5.78,36.0,27
2_15,Khu nghỉ dưỡng Duyên Hà - Cam Ranh (Duyen Ha Resort Cam Ranh),9.3,9.27,10.0,172.0,26
36_14,Khách sạn Vân Nam Nha Trang (Van Nam Hotel Nha Trang),8.52,8.78,10.0,81.0,26
16_4,Green Lighthouse (Green Lighthouse Hotel),8.73,9.28,9.82,63.0,25
1_21,Libra Nha Trang Hotel,9.43,9.42,10.0,152.0,25
3_11,Green Beach Nha Trang,9.31,9.3,10.0,92.0,24
6_27,Vinpearl Beachfront Nha Trang,9.38,9.39,10.0,161.0,24
2_13,Panorama Nha Trang by HLG,8.97,8.87,10.0,157.0,24
1_17,Panorama Nha Trang Ocean View,9.02,9.08,10.0,133.0,23
20_18,Khách Sạn Crown Nha Trang (Crown Hotel Nha Trang),9.24,9.1,10.0,95.0,23
10_2,InterContinental Nha Trang,9.56,9.59,9.92,120.0,23
2_2,Muong Thanh Grand Nha Trang Hotel,9.3,9.53,10.0,147.0,23
27_17,Luu Gia Hotel,9.35,9.42,9.06,41.0,23
12_5,Khách sạn Nice Swan (Nice Swan Hotel Nha Trang),8.44,8.64,10.0,79.0,22
3_28,The Costa Nha Trang (The Costa Nha Trang Residences),9.0,9.3,10.0,107.0,22
5_8,Muong Thanh Vien Trieu Hotel & Apartment Nha Trang,9.02,7.68,0.69,9.0,22
5_4,Lotus Village Nha Trang,9.06,8.81,10.0,81.0,22
14_14,Wyndham Grand KN Paradise Cam Ranh,8.88,8.74,9.91,94.0,21
1_29,Khách sạn Paris Nha Trang (Paris Nha Trang Hotel and Apartment),8.64,8.67,8.88,78.0,21
22_1,Khách sạn Galina & Spa (Galina Hotel & Spa),8.93,8.76,10.0,90.0,21
31_4,Khách sạn TND (TND Hotel),9.12,8.61,10.0,72.0,20
27_12,Vanda Hotel Nha Trang,9.22,9.18,10.0,70.0,19
4_5,Heritage Boutique Sierra Legend,8.85,8.82,9.67,43.0,19
36_6,Khu Du Lịch Hòn Ông (Whale Island Resort),8.89,9.15,10.0,69.0,18
18_17,Gold Coast Nha Trang Luxury Apartment - Ocean View,9.12,8.83,10.0,66.0,18
18_2,Cam Ranh Mystery Villas & Spa,9.02,9.31,9.55,43.0,18
29_24,Ccasa hostel,9.01,9.04,9.78,66.0,18
2_25,Khách sạn Ale Nha Trang (Ale Nha Trang Hotel),9.17,9.02,10.0,50.0,17
26_27,Nha Trang Lodge Hotel,8.8,8.69,10.0,82.0,17
2_8,Dubai Nha Trang Hotel,9.12,9.49,10.0,62.0,17
11_21,La Paloma Villa,8.86,9.2,9.79,44.0,17
