userId,num_hotels_reviewed,num_ratings
david,8,8
TAE,8,8
NGỌC,8,8
Yu,8,8
Sun,8,8
TIEN,8,8
Phát,8,8
NGO,8,8
Li,8,8
Ann,8,8
Julia,8,8
Hoan,8,8
Yong,8,8
MAI,8,8
Ana,8,8
QUANG,8,8
john,8,8
Phú,8,8
SANG,8,8
Ting,8,8
PHAN,8,8
Ben,8,8
Bach,8,8
Alice,8,8
Tony,8,8
THU,8,8
Emma,8,8
Anton,8,8
Philip,8,8
Jessica,8,8
Jung,8,8
Tân,8,8
Julie,8,8
JUN,8,8
Maria,8,8
VU,8,8
Vincent,8,8
Sung,8,8
KANG,8,8
Kiet,8,8
hieu,8,8
Ivan,8,8
Sharon,8,8
William,8,8
Định,7,7
Keith,7,7
Chen,7,7
Andrea,7,7
Diệp,7,7
PHẠM,7,7
Su,7,7
Jennifer,7,7
Tin,7,7
Francis,7,7
Andreas,7,7
HUNG,7,7
SUJIN,7,7
SO,7,7
HAN,7,7
Woo,7,7
Linda,7,7
Ching,7,7
Kelly,7,7
CHUN,7,7
HWANG,7,7
Helen,7,7
quang,7,7
Huệ,7,7
Lương,7,7
Diem,7,7
Gabriel,7,7
Bá,7,7
Choi,7,7
hyunjin,7,7
Charles,7,7
TRUNG,7,7
Thach,7,7
Eunji,7,7
IN,7,7
Jean,7,7
Kai,7,7
TRANG,7,7
Thịnh,7,7
young,7,7
Alexander,7,7
Tsz,7,7
hang,7,7
Yee,7,7
Jan,7,7
DONG,7,7
DO,7,7
Elizabeth,7,7
song,7,7
Luong,7,7
Ekaterina,7,7
an,7,7
Moon,7,7
WAI,7,7
huy,7,7
Cẩm,7,7
SEONG,7,7
Liên,7,7
Jieun,7,7
Nina,7,7
Khoi,7,7
Phat,7,7
HAI,7,7
Karen,7,7
Frank,7,7
Diep,7,7
Toàn,7,7
SUNG,7,7
HYE,6,6
NHON,6,6
Soyeon,6,6
HUU,6,6
Hoàn,6,6
Diễm,6,6
peter,6,6
BUI,6,6
hung,6,6
Jo,6,6
Phụng,6,6
tu,6,6
Rebecca,6,6
Nghi,6,6
Phillip,6,6
Tracy,6,6
Jonathan,6,6
park,6,6
Jeffrey,6,6
Jihye,6,6
seung,6,6
Ksenia,6,6
Ahreum,6,6
Lưu,6,6
Kiên,6,6
lan,6,6
Huan,6,6
Kelvin,6,6
DAT,6,6
LIEN,6,6
Erin,6,6
HONG,6,6
Ling,6,6
YANG,6,6
Kyung,6,6
Nick,6,6
ahmed,6,6
May,6,6
Joo,6,6
QUOC,6,6
thao,6,6
Yuki,6,6
Aleksei,6,6
khanh,6,6
ngọc,6,6
JIWON,6,6
Seung,6,6
Artem,6,6
June,6,6
JINWOO,6,6
EUNMI,6,6
Neil,6,6
SHIN,6,6
Hiệp,6,6
Sean,6,6
Jun,6,6
Phượng,6,6
Muhammad,6,6
jihyun,6,6
Dylan,6,6
Erik,6,6
Hòa,6,6
Kiệt,6,6
OH,6,6
Sam,6,6
Brian,6,6
Khương,6,6
YOUNG,6,6
Emily,6,6
Jiyoung,6,6
Tiffany,6,6
Tạ,6,6
hiroshi,6,6
JIEUN,6,6
Wang,6,6
NAM,6,6
Chan,6,6
Jae,6,6
EUNYOUNG,6,6
Annie,6,6
Ty,6,6
SEUNG,6,6
duy,6,6
Hanna,6,6
Julian,6,6
Jimmy,6,6
Jeong,6,6
Marie,6,6
Ju,6,6
DUY,6,6
XUAN,6,6
Ai,6,6
nhu,6,6
Tina,6,6
Mina,6,6
Danh,6,6
Thuong,6,6
Di,6,6
son,6,6
quynh,6,6
VO,6,6
Yun,6,6
Ian,6,6
min,6,6
yu,6,6
PHUOC,6,6
Hye,6,6
Henry,6,6
PHUNG,6,6
Nhut,6,6
LAM,6,6
HOA,6,6
H,6,6
Hau,6,6
Jay,6,6
JIHYE,6,6
trâm,5,5
ANNA,5,5
Scott,5,5
BICH,5,5
Cho,5,5
Steve,5,5
Amanda,5,5
Sze,5,5
Danielle,5,5
tuan,5,5
Song,5,5
Trevor,5,5
nam,5,5
Celine,5,5
Khải,5,5
SOHEE,5,5
Rose,5,5
Jordan,5,5
duc,5,5
chang,5,5
SOO,5,5
võ,5,5
Lộc,5,5
Du,5,5
KWANG,5,5
Aleksandr,5,5
Thế,5,5
DUC,5,5
kwon,5,5
Tracey,5,5
Melissa,5,5
LI,5,5
Trieu,5,5
Ng,5,5
Hwang,5,5
Melanie,5,5
viet,5,5
Hường,5,5
Jessie,5,5
BAO,5,5
Hy,5,5
MI,5,5
Tuyến,5,5
So,5,5
SU,5,5
Cam,5,5
DOAN,5,5
Mei,5,5
Chong,5,5
QUYNH,5,5
SEULGI,5,5
vy,5,5
CHONG,5,5
Nicole,5,5
Amy,5,5
Edward,5,5
THẢO,5,5
Cindy,5,5
trung,5,5
Simon,5,5
huynh,5,5
tien,5,5
Tra,5,5
HYUN,5,5
Irene,5,5
Thong,5,5
uyen,5,5
Stewart,5,5
Alan,5,5
phuc,5,5
Tín,5,5
minji,5,5
JANG,5,5
jieun,5,5
Yuk,5,5
YUJIN,5,5
Khai,5,5
Adam,5,5
Yuen,5,5
HUY,5,5
Bang,5,5
tan,5,5
my,5,5
Bee,5,5
EUNKYUNG,5,5
hai,5,5
EUNA,5,5
Na,5,5
TAM,5,5
MIN,5,5
Maxim,5,5
DAHYE,5,5
Rachel,5,5
SUN,5,5
Olivia,5,5
MINJI,5,5
Louis,5,5
Sinh,5,5
Pavel,5,5
Chiến,5,5
LUONG,5,5
christopher,5,5
vo,5,5
Sin,5,5
jeong,5,5
bao,5,5
Hiep,5,5
MINYOUNG,5,5
quyen,5,5
Harry,5,5
Andy,5,5
Soyoung,5,5
Kenneth,5,5
Cheng,5,5
Aaron,5,5
Khuyen,5,5
JONG,5,5
phong,5,5
PUI,5,5
jae,5,5
CHANG,5,5
YUN,5,5
YU,5,5
Thinh,5,5
NG,5,5
EUNJI,5,5
YUMI,5,5
dahye,5,5
Lieu,5,5
ngo,5,5
Kwok,5,5
Ying,5,5
Leslie,5,5
cao,5,5
Jon,5,5
Liem,5,5
Kin,4,4
Yves,4,4
Nadezhda,4,4
Lucas,4,4
kyunghee,4,4
jinhee,4,4
CHUNG,4,4
Igor,4,4
Yeji,4,4
JEONGMIN,4,4
Shaun,4,4
hanh,4,4
Yan,4,4
Dominik,4,4
Ninh,4,4
Doug,4,4
Natalie,4,4
Hana,4,4
Minji,4,4
Tường,4,4
wing,4,4
Vien,4,4
Ray,4,4
Christian,4,4
VIET,4,4
thuong,4,4
Roger,4,4
Tommy,4,4
eun,4,4
In,4,4
oh,4,4
Marco,4,4
eric,4,4
Jinhee,4,4
Ái,4,4
Won,4,4
Kha,4,4
Ong,4,4
Joe,4,4
vũ,4,4
Tamara,4,4
San,4,4
soyoung,4,4
Victoria,4,4
JISUN,4,4
Markus,4,4
Tatiana,4,4
Vladimir,4,4
ho,4,4
Darren,4,4
Sergey,4,4
JIHUN,4,4
Yeo,4,4
Katie,4,4
Nicola,4,4
THIEN,4,4
King,4,4
thang,4,4
LY,4,4
Suong,4,4
수정,4,4
승진,4,4
Danny,4,4
Yi,4,4
yen,4,4
LONG,4,4
nhung,4,4
Thuc,4,4
HUONG,4,4
Chien,4,4
Minkyung,4,4
Giao,4,4
NHAN,4,4
Kyu,4,4
paul,4,4
EUNJEONG,4,4
Sergei,4,4
Vĩnh,4,4
Gary,4,4
boram,4,4
YUTAKA,4,4
Kyle,4,4
Qui,4,4
Marcus,4,4
edward,4,4
Emy,4,4
Khac,4,4
ĐÀO,4,4
JIHOON,4,4
NGHIA,4,4
HOÀNG,4,4
Yujin,4,4
Thắm,4,4
Stephanie,4,4
Sanghyun,4,4
Ashley,4,4
Judith,4,4
Tong,4,4
Lin,4,4
huong,4,4
bora,4,4
VÕ,4,4
Hiển,4,4
MY,4,4
jiyoung,4,4
BAE,4,4
Eunhee,4,4
Sương,4,4
Eunju,4,4
Alexey,4,4
Nicholas,4,4
Shuk,4,4
JIYEON,4,4
Tae,4,4
HUYNH,4,4
Sau,4,4
Boram,4,4
A,4,4
Ahn,4,4
Ma,4,4
Kenny,4,4
luan,4,4
Tình,4,4
Hyejin,4,4
dang,4,4
JAEHO,4,4
Joel,4,4
Jacques,4,4
Kỳ,4,4
Seo,4,4
Pauline,4,4
Luân,4,4
HYEMIN,4,4
MUHAMMAD,4,4
Lydia,4,4
Thoai,4,4
SEUNGWON,4,4
TUAN,4,4
HANH,4,4
Wong,4,4
SEONGJIN,4,4
Heo,4,4
VŨ,4,4
ng,4,4
Mac,4,4
Hisako,4,4
Vanessa,4,4
지영,4,4
eunju,4,4
Sunjong,4,4
JEON,4,4
Thức,4,4
Ashish,4,4
sarang,4,4
Seok,4,4
Mike,4,4
Ken,4,4
michael,4,4
Leo,4,4
Denis,4,4
Cherry,4,4
Mien,4,4
Tuân,4,4
karen,4,4
Pei,4,4
KA,4,4
yujin,4,4
hoa,4,4
Nha,4,4
soyeon,4,4
Geoffrey,4,4
li,4,4
giang,4,4
thomas,4,4
Tue,4,4
Nhã,4,4
Lily,4,4
Dennis,4,4
Seong,4,4
Jihyun,4,4
minjung,4,4
George,4,4
TAI,4,4
Katherine,4,4
Florian,4,4
Yumi,4,4
YONG,4,4
Hào,4,4
Rob,4,4
mi,4,4
AN,4,4
Thục,4,4
huyen,4,4
huu,4,4
HEE,4,4
ĐỖ,4,4
Ryan,4,4
Jane,4,4
Andre,4,4
LIM,4,4
Pascal,4,4
Mình,4,4
Lars,4,4
LinhVy,4,4
Caroline,4,4
Đại,4,4
Hoà,4,4
Gerard,4,4
phan,4,4
Ming,4,4
CHI,4,4
nayoung,4,4
Bi,4,4
LAI,4,4
THỊ,4,4
Juyoung,4,4
SEONYEONG,4,4
JIN,4,4
Thọ,4,4
HAYOUNG,4,4
YOO,4,4
Luc,4,4
tuyet,3,3
Chad,3,3
jihye,3,3
PETER,3,3
Kang,3,3
dung,3,3
Damien,3,3
Tuyên,3,3
ngocanh,3,3
JIHYUN,3,3
Graham,3,3
진주,3,3
Cheung,3,3
JONGWOO,3,3
Robyn,3,3
Narelle,3,3
Chui,3,3
Ivy,3,3
BYUNG,3,3
CHAN,3,3
Hyunjoo,3,3
Minhee,3,3
pac,3,3
Joey,3,3
Kristina,3,3
cam,3,3
Băng,3,3
Kameel,3,3
Jiin,3,3
brian,3,3
chin,3,3
YAO,3,3
HUYEN,3,3
Daryl,3,3
Benjamin,3,3
Choon,3,3
kyehee,3,3
eunji,3,3
SOOYOUNG,3,3
Bokyung,3,3
Eunjin,3,3
YOOJIN,3,3
Nathan,3,3
Heewoo,3,3
Jim,3,3
KYOUNG,3,3
Lư,3,3
JAEWOO,3,3
Hyejung,3,3
Dam,3,3
Jaeho,3,3
dong,3,3
SEO,3,3
민지,3,3
Sehoon,3,3
Hannah,3,3
vincent,3,3
Roland,3,3
Byungjin,3,3
Marius,3,3
유진,3,3
Dawn,3,3
Jing,3,3
trong,3,3
scott,3,3
DŨNG,3,3
현정,3,3
Younghwa,3,3
CHOO,3,3
Alena,3,3
SONG,3,3
Hyoeun,3,3
thủy,3,3
Eunyoung,3,3
Денис,3,3
TRI,3,3
Low,3,3
SJ,3,3
Greg,3,3
Maureen,3,3
Tom,3,3
sena,3,3
Woojin,3,3
BINH,3,3
LINH,3,3
Zheng,3,3
Hyunju,3,3
Xavier,3,3
HYUNJI,3,3
soon,3,3
Tí,3,3
Nhon,3,3
Deborah,3,3
Tomas,3,3
alan,3,3
CHO,3,3
Nữ,3,3
TU,3,3
Don,3,3
Dave,3,3
yun,3,3
Thierry,3,3
Ella,3,3
연경,3,3
Sumin,3,3
sook,3,3
Tristan,3,3
Diana,3,3
christian,3,3
Jungmin,3,3
Jongok,3,3
YOU,3,3
Seul,3,3
tung,3,3
La,3,3
Luan,3,3
Heng,3,3
JEONGHO,3,3
Chloe,3,3
Dean,3,3
Lanh,3,3
chen,3,3
Lindsey,3,3
Dmitry,3,3
YOON,3,3
AHN,3,3
Jeongin,3,3
YEONG,3,3
